,caption,gold,id,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
R2926883713,middle_paths_unrestricted_16,NONE,,1.0,JavaScript,Ruby,lex (unique),"[['X/PROPN/compound/> favour/NOUN/ROOT/^ for/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> favour/NOUN/ROOT/^ for/ADP/prep/<', 'touch/PROPN/compound/V Y/PROPN/pobj/<']]",,,ARG,False,472,"Tools are getting richer and better... 19 Corona from Ansca Mobile Titanium from Appcelerator Phonegap Lua language (""code less"") HTML/CSS/JS HTML + CSS + JavaScript Strong gaming platform Mobile/desktop Open Exploits OpenGL Annual fee Developer focussed 2D physics engine Annual fee Caveats: Most solutions ""favour"" a reference platform HTML5 framework for Touch Ruby framework Pay for support Enterprise focus (sync) Success very use-case dependentWednesday, 25 May 2011","Tools are getting richer and better... 19 Corona from Ansca Mobile', 'Titanium from Appcelerator Phonegap Lua language (""code less"")', 'HTML/CSS/JS HTML + CSS + JavaScript Strong gaming platform', 'Mobile/desktop Open Exploits OpenGL Annual fee Developer focussed 2D', 'physics engine Annual fee Caveats: Most solutions ""favour"" a reference', 'platform HTML5 framework for Touch Ruby framework Pay for support', 'Enterprise focus (sync) Success very use-case dependentWednesday, 25', 'May 2011"
R2929791550,middle_paths_unrestricted_16,NONE,,0.6,Intel,Dell,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ faster/ADV/advmod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ amd/PROPN/nmod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ e-350/PROPN/nmod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ equip/VERB/amod/V Y/PROPN/pobj/<']]",,,ARG,True,205,"To put its performance in perspective, that's just over 4min faster than the dual-core Intel Atom-equipped HP Mini 5103 netbook and 33sec faster than the AMD E-350 APU-equipped Dell Inspiron M102z netbook.","To put its performance in perspective, that's just over 4min faster"", 'than the dual-core Intel Atom-equipped HP Mini 5103 netbook and 33sec', 'faster than the AMD E-350 APU-equipped Dell Inspiron M102z netbook."
R2938116469,middle_paths_unrestricted_16,ARG,,0.6,Toyota,BMW,lex (unique),"[['X/PROPN/nsubj/> continue/VERB/ROOT/^ ahead/ADV/advmod/< of/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,False,265,"Toyota continues to dominate the market with an excellent 21.2% share this month thanks to 884 sales, ahead of BMW very solid at 631 units and 15.1% vs. 13% year-to-date, Mercedes with 510 sales and 12.2% and Volkswagen at 456 units and 10.9% vs. 9.1% year-to-date.","Toyota continues to dominate the market with an excellent 21.2% share', 'this month thanks to 884 sales, ahead of BMW very solid at 631 units', 'and 15.1% vs. 13% year-to-date, Mercedes with 510 sales and 12.2% and', 'Volkswagen at 456 units and 10.9% vs. 9.1% year-to-date."
S2948497211,middle_paths_unrestricted_16,ARG,,0.6,Nikon,Leica,lex (unique),"[['X/PROPN/compound/> f3/PROPN/ROOT/^ bad/ADJ/conj/< Y/PROPN/appos/<'], ['X/PROPN/compound/> f3/PROPN/ROOT/^ bad/ADJ/conj/< still/ADV/advmod/V', 'Y/PROPN/appos/<']]",,,NONE,False,92,Try shooting a wedding on a manual focus Hasselblad and a Nikon F3 or worse still a Leica ;),"Try shooting a wedding on a manual focus Hasselblad and a Nikon F3 or', 'worse still a Leica ;)"
S2949704731,middle_paths_unrestricted_16,ARG,,1.0,Perl,PHP,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ scalable/ADJ/appos/V Y/PROPN/pobj/<']]",,,NONE,True,94,"TTT uses Perl (more scalable than PHP), Apache, and MySQL (doesn't get much better than this).","TTT uses Perl (more scalable than PHP), Apache, and MySQL (doesn't get"", 'much better than this)."
S2960605747,middle_paths_unrestricted_16,ARG,,1.0,Toyota,BMW,lex (unique),"[['X/PROPN/nsubj/> break/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> like/ADP/prep/V break/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> for/ADP/prep/V break/VERB/ROOT/^ Y/PROPN/dobj/<']]",,,NONE,True,142,"u can run a Toyota like shit for years b4 anything will break, a BMW is more sensitive but it is much nicer to drive and its more comfertable.","u can run a Toyota like shit for years b4 anything will break, a BMW', 'is more sensitive but it is much nicer to drive and its more', 'comfertable."
S2964316598,middle_paths_unrestricted_16,ARG,,1.0,missouri,michigan,lex (unique),"[['X/PROPN/nsubj/> jump/VERB/ROOT/^ ahead/ADV/advmod/< of/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,False,147,"Undefeated missouri jumped ahead of michigan State by winning 51-28 at Vanderbilt, and the Commodores are a better team than Iowa in my estimation.","Undefeated missouri jumped ahead of michigan State by winning 51-28 at', 'Vanderbilt, and the Commodores are a better team than Iowa in my', 'estimation."
S2966599012,middle_paths_unrestricted_16,ARG,,1.0,pennsylvania,california,lex (unique),[['X/ADJ/amod/> make/VERB/ROOT/^ crude/NOUN/pobj/< Y/PROPN/conj/<']],,,NONE,True,116,"Under these refining conditions, pennsylvania crude oil made better engine oil than Texas crude or california crude.","Under these refining conditions, pennsylvania crude oil made better', 'engine oil than Texas crude or california crude."
S2973048555,middle_paths_unrestricted_16,ARG,,0.8,OpenGL,Direct3D,lex (unique),[['X/PROPN/nsubj/> fall/VERB/ROOT/^ get/VERB/advcl/< Y/PROPN/npadvmod/<']],,,NONE,True,165,"Unless you can't prove that OpenGL falls short in terms of the results you get out of it, Direct3D might be the better designed API - but it's not a better solution.","Unless you can't prove that OpenGL falls short in terms of the results"", 'you get out of it, Direct3D might be the better designed API - but', ""it's not a better solution."
S2974407769,middle_paths_unrestricted_16,ARG,,0.4,Windows XP,Windows 8,lex (unique),"[['X/PROPN/npadvmod/> feel/VERB/ROOT/^ experience/NOUN/conj/<', 'Y/PROPN/conj/<'], ['X/PROPN/npadvmod/> with/ADP/prep/V feel/VERB/ROOT/^', 'experience/NOUN/conj/< Y/PROPN/conj/<'], ['X/PROPN/npadvmod/> feel/VERB/ROOT/^ experience/NOUN/conj/<', 'better/ADV/amod/V Y/PROPN/conj/<']]",,,NONE,True,202,"Unlike Windows 7, which provided Microsoft's large user base with an evolutionary path forward from Windows XP, with a look, feel and overall experience that was better - Windows 8 is a different beast.","Unlike Windows 7, which provided Microsoft's large user base with an"", 'evolutionary path forward from Windows XP, with a look, feel and', 'overall experience that was better - Windows 8 is a different beast."
S2978266352,middle_paths_unrestricted_16,NONE,,1.0,Windows XP,Windows Vista,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ make/VERB/conj/V Y/PROPN/dobj/<']]",,,ARG,False,145,Upgrades are being made harder now that you have OEMs like Dell still selling Windows XP and making Windows Vista available as an upgrade option.,"Upgrades are being made harder now that you have OEMs like Dell still', 'selling Windows XP and making Windows Vista available as an upgrade', 'option."
S2979989537,middle_paths_unrestricted_16,NONE,,0.8,Ethernet,USB,lex (unique),"[['X/ADJ/amod/> connection/NOUN/ROOT/^ via/ADP/conj/< Y/PROPN/pobj/<'], ['X/ADJ/amod/> connection/NOUN/ROOT/^ via/ADP/conj/< simple/ADJ/amod/V', 'Y/PROPN/pobj/<']]",,,ARG,False,156,"Up to 8GB of data is stored internally in solid state storage, accessible via the unit's onboard Ethernet connection or via simple USB memory stick offload.","Up to 8GB of data is stored internally in solid state storage,', ""accessible via the unit's onboard Ethernet connection or via simple"", 'USB memory stick offload."
S2980659627,middle_paths_unrestricted_16,ARG,,1.0,Windows XP,Windows 8,lex (unique),[['X/PROPN/compound/> compare/VERB/ROOT/^ Y/PROPN/pobj/<']],,,NONE,True,285,ur kidding right ?? i use core i5 and 4gb ram with this graphics 45 fps no less than that number iam sure i can i make it (and any game) hit 120 fps simply doing 1 thing which is installing the ugly Windows XP sp3 (it dont even compare to Windows 8 beauty) but its about 3 times faster,"ur kidding right ?? i use core i5 and 4gb ram with this graphics 45', 'fps no less than that number iam sure i can i make it (and any game)', 'hit 120 fps simply doing 1 thing which is installing the ugly Windows', 'XP sp3 (it dont even compare to Windows 8 beauty) but its about 3', 'times faster"
S2982034453,middle_paths_unrestricted_16,NONE,,1.0,NetBeans,Eclipse,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ of/ADP/prep/V Y/PROPN/pobj/<']]",,,ARG,True,37,Use an IDE like NetBeans of Eclipse.),Use an IDE like NetBeans of Eclipse.)
S2996254878,middle_paths_unrestricted_16,ARG,,1.0,PHP,Java,lex (unique),"[['X/PROPN/nsubj/> have/VERB/ROOT/^ have/VERB/conj/< dare/VERB/ccomp/<', 'innovate/VERB/conj/< faster/ADV/advmod/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,True,105,"vb and PHP have or will have lambda's I just see C#, dare I say it, innovate faster than Java has lately.","vb and PHP have or will have lambda's I just see C#, dare I say it,"", 'innovate faster than Java has lately."
S3005385379,middle_paths_unrestricted_16,NONE,,0.4,Sony,Amazon,lex (unique),[['X/PROPN/compound/> be/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<']],,,ARG,False,330,"Virtually every Blu-ray player and game counsel streams (in fairness, my Sony Blu-ray player is painfully slow with Amazon Prime compared to my Roku, while Netflix has a better menu system than the Roku, and supports 1080p Super HD with 5.1 -- Netflix only offers that on the newest Roku even though my XD supports 1080p and 5.1).","Virtually every Blu-ray player and game counsel streams (in fairness,', 'my Sony Blu-ray player is painfully slow with Amazon Prime compared to', 'my Roku, while Netflix has a better menu system than the Roku, and', 'supports 1080p Super HD with 5.1 -- Netflix only offers that on the', 'newest Roku even though my XD supports 1080p and 5.1)."
S3037069425,middle_paths_unrestricted_16,ARG,,0.8,PostgreSQL,MySQL,lex (unique),"[['X/PROPN/nsubj/> start/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> start/VERB/ROOT/^ an/DET/det/V Y/PROPN/dobj/<']]",,,NONE,False,141,"We chose for PostgreSQL (not to start an MySQL pg flamewar, but pg was the more suitable for our purposes) because it's open, and thus safer.","We chose for PostgreSQL (not to start an MySQL pg flamewar, but pg was', ""the more suitable for our purposes) because it's open, and thus safer."
S3038733751,middle_paths_unrestricted_16,NONE,,0.8,beer,tea,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ as/ADP/prep/V Y/PROPN/pobj/<']]",,,ARG,True,103,We'd assume with a water bottle of this style we could probably pass beer as tea with no one the wiser.,"We'd assume with a water bottle of this style we could probably pass"", 'beer as tea with no one the wiser."
S3045780679,middle_paths_unrestricted_16,NONE,,0.8,JavaScript,Perl,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ java/PROPN/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ in/ADP/prep/V Y/PROPN/pobj/<']]",,,ARG,True,248,We found that C++ delivered better performance than Java and allowed for better code organization and reuse than C. Also we expect that future versions of UI will be partially implemented in JavaScript and Java in addition to Perl and Bourne Shell.,"We found that C++ delivered better performance than Java and allowed', 'for better code organization and reuse than C. Also we expect that', 'future versions of UI will be partially implemented in JavaScript and', 'Java in addition to Perl and Bourne Shell."
S3046641856,middle_paths_unrestricted_16,ARG,,1.0,BMW,Ford,lex (unique),[['NOPATH']],,,NONE,True,82,We got into her BMW X5! Well let me tell you that it is a lot better than my Ford.,"We got into her BMW X5! Well let me tell you that it is a lot better', 'than my Ford."
S3058375910,middle_paths_unrestricted_16,ARG,,1.0,Windows 7,Windows 8,lex (unique),[['X/PROPN/nsubj/> run/VERB/ROOT/^ Y/PROPN/conj/<']],,,NONE,True,144,"We know this to be true - Windows 7 ran faster than Windows Vista, and Windows 8 got even better, and achieved this on constrained ARM hardware.","We know this to be true - Windows 7 ran faster than Windows Vista, and', 'Windows 8 got even better, and achieved this on constrained ARM', 'hardware."
S3074001085,middle_paths_unrestricted_16,ARG,,1.0,youtube,hulu,lex (unique),[['NOPATH']],,,NONE,False,87,We obviously linked to youtube above even though hulu has superior quality and content.,"We obviously linked to youtube above even though hulu has superior', 'quality and content."
S3078575729,middle_paths_unrestricted_16,NONE,,0.4,sandwich,pizza,lex (unique),"[[""X/PROPN/npadvmod/> '/VERB/ROOT/^ good/ADJ/acomp/< on/ADP/prep/<"", 'Y/PROPN/pobj/<']]",,,ARG,True,120,"We're going to have a point of view on what's better on a sandwich, what's better on a salad, what's better on a pizza.""","We're going to have a point of view on what's better on a sandwich,"", 'what\'s better on a salad, what\'s better on a pizza."""
S3089779542,middle_paths_unrestricted_16,ARG,,1.0,tennis,hockey,lex (unique),"[['X/PROPN/compound/> ball/NOUN/nsubj/> say/VERB/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/compound/> ball/NOUN/nsubj/> say/VERB/ROOT/^', 'wolf/PROPN/compound/V Y/PROPN/appos/<'], ['X/PROPN/compound/> ball/NOUN/nsubj/> say/VERB/ROOT/^', 'pack/PROPN/compound/V Y/PROPN/appos/<']]",,,NONE,False,141,"We use tennis balls to start because it's safer -- less chance of getting hurt,"" said Wes Hogan of Bartlett, Wolf Pack hockey Club organizer.","We use tennis balls to start because it's safer -- less chance of"", 'getting hurt,"" said Wes Hogan of Bartlett, Wolf Pack hockey Club', 'organizer."
S3101244807,middle_paths_unrestricted_16,ARG,,1.0,PHP,Java,lex (unique),[['NOPATH']],,,NONE,True,71,"What are the benefits, where is PHP better than ColdFusion, Java, etc.?","What are the benefits, where is PHP better than ColdFusion, Java,', 'etc.?"
S3103251540,middle_paths_unrestricted_16,NONE,,1.0,Java,Smalltalk,lex (unique),"[['X/PROPN/nsubj/> do/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> do/VERB/ROOT/^ that/DET/det/V Y/PROPN/dobj/<']]",,,ARG,False,39,What did Java do that Smalltalk didn't?,What did Java do that Smalltalk didn't?
S3108011691,middle_paths_unrestricted_16,ARG,,1.0,OpenGL,Direct3D,lex (unique),"[['X/PROPN/nsubj/> support/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> 2.1/NUM/nummod/V support/VERB/ROOT/^ Y/PROPN/dobj/<']]",,,NONE,False,167,"What if I have an integrated Intel card that only supports OpenGL 2.1, but for some reason supports Direct3D 10, which is apparently the better ""programmable"" version?","What if I have an integrated Intel card that only supports OpenGL 2.1,', 'but for some reason supports Direct3D 10, which is apparently the', 'better ""programmable"" version?"
S3114292112,middle_paths_unrestricted_16,NONE,,1.0,pasta,bread,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ fresh/ADJ/amod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ baked/ADJ/amod/V Y/PROPN/pobj/<']]",,,ARG,True,48,What's better with pasta than fresh baked bread?,What's better with pasta than fresh baked bread?
S3117700200,middle_paths_unrestricted_16,NONE,,1.0,Google,Sony,lex (unique),"[['X/PROPN/compound/> music/PROPN/ROOT/^ iphone/PROPN/appos/<', 'ipad/PROPN/conj/< video/PROPN/conj/< for/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> music/PROPN/ROOT/^ iphone/PROPN/appos/<', 'ipad/PROPN/conj/< video/PROPN/conj/< for/ADP/prep/< the/DET/det/V', 'Y/PROPN/pobj/<']]",,,ARG,False,409,"What triggered this was two software releases today that don't seem, on the surface , to impact readers of this site at all: Google Music for iOS (iPhone, iPad, iPod touch) and Amazon Instant Video for the Sony PlayStation 4. But these are just the latest in an increasingly long line of cross-platform releases that make it easier than ever for us to choose how we wish to mix and match devices and services.","What triggered this was two software releases today that don't seem,"", 'on the surface , to impact readers of this site at all: Google Music', 'for iOS (iPhone, iPad, iPod touch) and Amazon Instant Video for the', 'Sony PlayStation 4. But these are just the latest in an increasingly', 'long line of cross-platform releases that make it easier than ever for', 'us to choose how we wish to mix and match devices and services."
T3149667042,middle_paths_unrestricted_16,ARG,,1.0,Google,Microsoft,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ competitor/NOUN/conj/V Y/PROPN/pobj/<']]",,,NONE,False,142,Where marketshare matters more -- the tablet market -- Apple dominates over Google and inferior competitors such as Microsoft and Blackberry .,"Where marketshare matters more -- the tablet market -- Apple dominates', 'over Google and inferior competitors such as Microsoft and Blackberry', '."
T3150295303,middle_paths_unrestricted_16,ARG,,1.0,Windows 7,Windows 8,lex (unique),"[['X/PROPN/nsubjpass/> perceive/VERB/ROOT/^ as/ADP/prep/<', 'superior/ADJ/amod/< to/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,True,75,Where the previous version Windows 7 is perceived as superior to Windows 8.,"Where the previous version Windows 7 is perceived as superior to', 'Windows 8."
T3152121262,middle_paths_unrestricted_16,ARG,,1.0,Python,Java,lex (unique),[['NOPATH']],,,NONE,True,68,(Whether that makes Ruby and Python better than Java is subjective.),(Whether that makes Ruby and Python better than Java is subjective.)
T3157332185,middle_paths_unrestricted_16,ARG,,0.8,Chrysler,Toyota,lex (unique),"[['X/PROPN/nsubj/> say/VERB/ROOT/^ feel/VERB/conj/< couple/VERB/acomp/<', 'tall/ADJ/conj/< than/ADP/prep/< fusion/PROPN/pobj/< Y/PROPN/conj/<']]",,,NONE,True,178,"While Chrysler says the Sebring offers the same or better EPA volume as its competition, the car feels a bit more closely coupled and taller than the Ford Fusion or Toyota Camry.","While Chrysler says the Sebring offers the same or better EPA volume', 'as its competition, the car feels a bit more closely coupled and', 'taller than the Ford Fusion or Toyota Camry."
T3161536032,middle_paths_unrestricted_16,NONE,,0.8,nixon,kennedy,lex (unique),[['X/PROPN/nsubj/> come/VERB/ROOT/^ better/ADV/advmod/< Y/PROPN/appos/<']],,,ARG,False,91,"While nixon came across better on radio, kennedy appeared the winner to television viewers.","While nixon came across better on radio, kennedy appeared the winner', 'to television viewers."
T3163010602,middle_paths_unrestricted_16,ARG,,1.0,Java,Lisp,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ host/VERB/acl/V Y/PROPN/pobj/<']]",,,NONE,True,244,"While some of them can be used via FFI, it won't be feasible for functions that require high performance (FFI calls have their overhead) There's also a question of hosting -- it might be easier to find Java hosting rather than Lisp web hosting.","While some of them can be used via FFI, it won't be feasible for"", 'functions that require high performance (FFI calls have their', ""overhead) There's also a question of hosting -- it might be easier to"", 'find Java hosting rather than Lisp web hosting."
T3164684469,middle_paths_unrestricted_16,ARG,,1.0,BMW,Honda,lex (unique),"[['X/PROPN/nmod/> offer/VERB/ROOT/^ note/NOUN/dobj/< nice/ADJ/amod/<', 'as/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nmod/> offer/VERB/ROOT/^ note/NOUN/dobj/< nice/ADJ/amod/<', 'as/ADP/prep/< this/DET/det/V Y/PROPN/pobj/<']]",,,NONE,False,161,"While the new BMW 3 Series and Infiniti G37 may offer slightly better chassis dynamics than this latest Accord, neither has an engine note as nice as this Honda.","While the new BMW 3 Series and Infiniti G37 may offer slightly better', 'chassis dynamics than this latest Accord, neither has an engine note', 'as nice as this Honda."
T3164970367,middle_paths_unrestricted_16,ARG,,1.0,Python,Java,lex (unique),"[['X/ADJ/amod/> be/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<'], ['X/ADJ/amod/> be/VERB/ROOT/^ with/ADP/prep/< the/DET/det/V', 'Y/PROPN/pobj/<']]",,,NONE,False,134,"While the Python source code browsing is only mediocre when compared with the Java support, the integrated debugging is very powerful.","While the Python source code browsing is only mediocre when compared', 'with the Java support, the integrated debugging is very powerful."
T3165855318,middle_paths_unrestricted_16,ARG,,1.0,SQLite,MySQL,lex (unique),"[[""X/PROPN/nsubj/> '/VERB/ROOT/^ Y/PROPN/dobj/<""]]",,,NONE,False,170,"While the tutorial implies that using SQLite is the easiest path to getting a working app, it's probably easier to use MySQL or postgres if you're comfortable with those.","While the tutorial implies that using SQLite is the easiest path to', ""getting a working app, it's probably easier to use MySQL or postgres"", ""if you're comfortable with those."
T3165937987,middle_paths_unrestricted_16,ARG,,1.0,ps2,ps3,lex (unique),"[[""X/PROPN/compound/> version/NOUN/nsubj/> 're/VERB/ROOT/^ on/ADP/prep/<"", 'Y/PROPN/pobj/<'], [""X/PROPN/compound/> version/NOUN/nsubj/> 're/VERB/ROOT/^ on/ADP/prep/<"", 'the/DET/det/V Y/PROPN/pobj/<']]",,,NONE,True,128,"While the visuals for the ps2 version were better than average and mostly effective, they're just downright mediocre on the ps3.","While the visuals for the ps2 version were better than average and', ""mostly effective, they're just downright mediocre on the ps3."
T3175416793,middle_paths_unrestricted_16,ARG,,1.0,Honda,BMW,lex (unique),[['NOPATH']],,,NONE,False,138,"Why is Honda still in F1? Like Toyota, year-in-and-year-out they continue to show they are inferior to Ferrari, Mercedes, BMW and Renault.","Why is Honda still in F1? Like Toyota, year-in-and-year-out they', 'continue to show they are inferior to Ferrari, Mercedes, BMW and', 'Renault."
T3179013411,middle_paths_unrestricted_16,NONE,,1.0,Ethernet,Bluetooth,lex (unique),[['X/PROPN/nsubj/> offer/VERB/ROOT/^ Y/PROPN/dep/<']],,,ARG,False,474,"Wi-Fi CERTIFIEDTM network connection reliable wireless connections at a hotspot, or within a home network, while Acer SignalUpTM with NplifyTM technology increases transfer speeds, and reduces dead spots and dropped connections; Gigabit Ethernet offers stable wired connectivity supporting data transfer rates of 1,000 megabits per second; Bluetooth® 3.0 (optional) enables quick data sharing and offers better power control to prevent devices unintentionally disconnecting.","Wi-Fi CERTIFIEDTM network connection reliable wireless connections at', 'a hotspot, or within a home network, while Acer SignalUpTM with', 'NplifyTM technology increases transfer speeds, and reduces dead spots', 'and dropped connections; Gigabit Ethernet offers stable wired', 'connectivity supporting data transfer rates of 1,000 megabits per', 'second; Bluetooth® 3.0 (optional) enables quick data sharing and', 'offers better power control to prevent devices unintentionally', 'disconnecting."
T3180308554,middle_paths_unrestricted_16,ARG,,1.0,baseball,football,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ alternative/NOUN/attr/< to/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> or/CONJ/cc/V be/VERB/ROOT/^ alternative/NOUN/attr/<', 'to/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,False,116,"Will current parents and future parents decide that baseball or whatever is a better, safer alternative to football?","Will current parents and future parents decide that baseball or', 'whatever is a better, safer alternative to football?"
T3184445344,middle_paths_unrestricted_16,NONE,,1.0,Windows XP,Windows 8,lex (unique),"[['X/PROPN/nsubj/> explain/VERB/ROOT/^ Y/PROPN/nsubj/<'], ['X/PROPN/nsubj/> feature/NOUN/dobj/V explain/VERB/ROOT/^', 'Y/PROPN/nsubj/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V explain/VERB/ROOT/^ Y/PROPN/nsubj/<'], ['X/PROPN/nsubj/> windows/PROPN/conj/V explain/VERB/ROOT/^', 'Y/PROPN/nsubj/<']]",,,ARG,True,312,"Windows 7 (rock solid 64-bit stability & modern, visual appeal), Windows XP (power features of NT with the beauty of Win95) and Windows 95 (Seriously, the most awesome OS of its era, a 10x improvement over Windows 3.11) were all fantastic hits; can anyone explain to me how Windows 8 will improve computing life?","Windows 7 (rock solid 64-bit stability & modern, visual appeal),', 'Windows XP (power features of NT with the beauty of Win95) and Windows', '95 (Seriously, the most awesome OS of its era, a 10x improvement over', 'Windows 3.11) were all fantastic hits; can anyone explain to me how', 'Windows 8 will improve computing life?"
T3184481742,middle_paths_unrestricted_16,ARG,,1.0,Windows 8,Windows 7,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ good/ADJ/advmod/V Y/PROPN/pobj/<']]",,,NONE,False,41,"Windows 8, slightly better than Windows 7","Windows 8, slightly better than Windows 7"
T3184517097,middle_paths_unrestricted_16,ARG,,1.0,Windows Vista,Windows XP,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ nice/ADJ/conj/V Y/PROPN/pobj/<']]",,,NONE,True,127,Windows Backup is a truly useful addition to Windows Vista and much nicer than the Backup utility that shipped with Windows XP.,"Windows Backup is a truly useful addition to Windows Vista and much', 'nicer than the Backup utility that shipped with Windows XP."
T3184740397,middle_paths_unrestricted_16,ARG,,1.0,Windows XP,Windows 98,lex (unique),[['X/PROPN/nsubj/> need/VERB/ROOT/^ Y/PROPN/conj/<']],,,NONE,False,111,"Windows XP needed two service packs, but Windows 98 was even worse, needing a second edition to plug the holes.","Windows XP needed two service packs, but Windows 98 was even worse,', 'needing a second edition to plug the holes."
T3184746962,middle_paths_unrestricted_16,NONE,,1.0,Windows XP,Windows 8,lex (unique),"[['X/PROPN/compound/> sp3/PROPN/ROOT/^ sp2/PROPN/conj/< sp1/NOUN/conj/<', 'Y/PROPN/conj/<']]",,,ARG,False,217,"- Windows XP SP3, Vista x64/x32 SP2, Windows 7 x64/x32 SP1, Windows 8 x64/x32 - Intel Core Duo or AMD Athlon X2 processor (Intel Core 2 Duo or AMD Athlon X4 or better recommended) - 2 GB RAM (4 GB or more recommended)","- Windows XP SP3, Vista x64/x32 SP2, Windows 7 x64/x32 SP1, Windows 8', 'x64/x32 - Intel Core Duo or AMD Athlon X2 processor (Intel Core 2 Duo', 'or AMD Athlon X4 or better recommended) - 2 GB RAM (4 GB or more', 'recommended)"
T3186421118,middle_paths_unrestricted_16,NONE,,1.0,Bluetooth,USB,lex (unique),"[['X/ADJ/amod/> quality/NOUN/nsubj/> quality/NOUN/ROOT/^ Y/PROPN/dobj/<'], ['X/ADJ/amod/> quality/NOUN/nsubj/> quality/NOUN/ROOT/^ front/ADJ/amod/V', 'Y/PROPN/dobj/<']]",,,ARG,False,100,Wi-SB BOX brings superior WiFi and Bluetooth signal quality and even provides 2 front USB 3.0 ports.,"Wi-SB BOX brings superior WiFi and Bluetooth signal quality and even', 'provides 2 front USB 3.0 ports."
T3194886735,middle_paths_unrestricted_16,ARG,,0.6,Windows 7,Windows 8,lex (unique),"[['X/ADJ/amod/> load/NOUN/ROOT/^ Y/PROPN/dobj/<'], ['X/ADJ/amod/> load/NOUN/ROOT/^ no/DET/det/V Y/PROPN/dobj/<'], ['X/ADJ/amod/> load/NOUN/ROOT/^ slow/ADJ/amod/V Y/PROPN/dobj/<']]",,,NONE,False,71,With my super fast SSD I find that Windows 7 loads no slower Windows 8.,"With my super fast SSD I find that Windows 7 loads no slower Windows', '8."
